time,r,g,b,
27 5 2024 8:8:52,0,0,0,
27 5 2024 8:8:52,0,0,0,
27 5 2024 8:8:53,0,0,0,
27 5 2024 8:8:53,0,0,0,
27 5 2024 8:8:53,0,0,0,
27 5 2024 8:8:53,0,0,0,
27 5 2024 8:8:53,0,0,0,
27 5 2024 8:8:53,0,0,0,
27 5 2024 8:8:53,0,0,0,
27 5 2024 8:8:53,0,0,0,
27 5 2024 8:8:53,0,0,0,
27 5 2024 8:8:53,0,0,0,
27 5 2024 8:8:53,0,0,0,
27 5 2024 8:8:53,0,0,0,
27 5 2024 8:8:53,0,0,0,
27 5 2024 8:8:53,71,76,97,
27 5 2024 8:8:53,71,76,97,
27 5 2024 8:8:53,71,76,97,
27 5 2024 8:8:54,71,76,97,
27 5 2024 8:8:54,71,76,97,
27 5 2024 8:8:54,71,76,97,
27 5 2024 8:8:54,71,76,97,
27 5 2024 8:8:54,71,76,97,
27 5 2024 8:8:54,71,76,97,
27 5 2024 8:8:54,71,76,97,
27 5 2024 8:8:54,71,76,97,
27 5 2024 8:8:54,71,76,97,
27 5 2024 8:8:54,71,76,97,
27 5 2024 8:8:54,71,76,97,
27 5 2024 8:8:54,71,76,97,
27 5 2024 8:8:54,71,76,97,
27 5 2024 8:8:54,71,76,97,
27 5 2024 8:8:54,71,76,97,
27 5 2024 8:8:55,71,76,97,
27 5 2024 8:8:55,71,76,97,
27 5 2024 8:8:55,71,76,97,
27 5 2024 8:8:55,71,76,97,
27 5 2024 8:8:55,71,76,97,
27 5 2024 8:8:55,71,76,97,
27 5 2024 8:8:55,71,76,97,
27 5 2024 8:8:55,71,76,97,
27 5 2024 8:8:55,71,76,97,
27 5 2024 8:8:55,71,76,97,
27 5 2024 8:8:55,71,76,97,
27 5 2024 8:8:55,71,76,97,
27 5 2024 8:8:55,71,76,97,
27 5 2024 8:8:55,71,76,97,
27 5 2024 8:8:55,71,76,97,
27 5 2024 8:8:55,71,76,97,
27 5 2024 8:8:56,71,76,97,
27 5 2024 8:8:56,71,76,97,
27 5 2024 8:8:56,71,76,97,
27 5 2024 8:8:56,71,76,97,
27 5 2024 8:8:56,71,76,97,
27 5 2024 8:8:56,71,76,97,
27 5 2024 8:8:56,71,76,97,
27 5 2024 8:8:56,71,76,97,
27 5 2024 8:8:56,71,76,97,
27 5 2024 8:8:56,71,76,97,
27 5 2024 8:8:56,71,76,97,
27 5 2024 8:8:56,71,76,97,
27 5 2024 8:8:56,71,76,97,
27 5 2024 8:8:56,71,76,97,
27 5 2024 8:8:56,71,76,97,
27 5 2024 8:8:57,71,76,97,
27 5 2024 8:8:57,71,76,97,
27 5 2024 8:8:57,71,76,97,
27 5 2024 8:8:57,71,76,97,
27 5 2024 8:8:57,71,76,97,
27 5 2024 8:8:57,71,76,97,
27 5 2024 8:8:57,71,76,97,
27 5 2024 8:8:57,71,76,97,
27 5 2024 8:8:57,71,76,97,
27 5 2024 8:8:57,71,76,97,
27 5 2024 8:8:57,71,76,97,
27 5 2024 8:8:57,71,76,97,
27 5 2024 8:8:57,71,76,97,
27 5 2024 8:8:57,71,76,97,
27 5 2024 8:8:57,71,76,97,
27 5 2024 8:8:57,71,76,97,
27 5 2024 8:8:58,71,76,97,
27 5 2024 8:8:58,71,76,97,
27 5 2024 8:8:58,71,76,97,
27 5 2024 8:8:58,71,76,97,
27 5 2024 8:8:58,71,76,97,
27 5 2024 8:8:58,71,76,97,
27 5 2024 8:8:58,71,76,97,
27 5 2024 8:8:58,71,76,97,
27 5 2024 8:8:58,71,76,97,
27 5 2024 8:8:58,71,76,97,
27 5 2024 8:8:58,71,76,97,
27 5 2024 8:8:58,71,76,97,
27 5 2024 8:8:58,71,76,97,
27 5 2024 8:8:58,71,76,97,
27 5 2024 8:8:58,71,76,97,
27 5 2024 8:8:59,71,76,97,
27 5 2024 8:8:59,71,76,97,
27 5 2024 8:8:59,71,76,97,
27 5 2024 8:8:59,71,76,97,
27 5 2024 8:8:59,71,76,97,
27 5 2024 8:8:59,71,76,97,
27 5 2024 8:8:59,71,76,97,
27 5 2024 8:8:59,71,76,97,
