time,r,g,b,
31-5-2024 6:8:49,0,0,0,
31-5-2024 6:8:49,0,0,0,
31-5-2024 6:8:49,0,0,0,
31-5-2024 6:8:49,0,0,0,
31-5-2024 6:8:49,0,0,0,
31-5-2024 6:8:49,0,0,0,
31-5-2024 6:8:49,0,0,0,
31-5-2024 6:8:49,0,0,0,
31-5-2024 6:8:49,0,0,0,
31-5-2024 6:8:49,0,0,0,
31-5-2024 6:8:49,0,0,0,
31-5-2024 6:8:49,0,0,0,
31-5-2024 6:8:49,0,0,0,
31-5-2024 6:8:49,0,0,0,
31-5-2024 6:8:49,0,0,0,
31-5-2024 6:8:49,71,76,97,
31-5-2024 6:8:50,71,76,97,
31-5-2024 6:8:50,71,76,97,
31-5-2024 6:8:50,71,76,97,
31-5-2024 6:8:50,71,76,97,
31-5-2024 6:8:50,71,76,97,
31-5-2024 6:8:50,71,76,97,
31-5-2024 6:8:50,71,76,97,
31-5-2024 6:8:50,71,76,97,
31-5-2024 6:8:50,71,76,97,
31-5-2024 6:8:50,71,76,97,
31-5-2024 6:8:50,71,76,97,
31-5-2024 6:8:50,71,76,97,
31-5-2024 6:8:50,71,76,97,
31-5-2024 6:8:50,71,76,97,
31-5-2024 6:8:50,71,76,97,
31-5-2024 6:8:51,71,76,97,
31-5-2024 6:8:51,71,76,97,
31-5-2024 6:8:51,71,76,97,
31-5-2024 6:8:51,71,76,97,
31-5-2024 6:8:51,71,76,97,
31-5-2024 6:8:51,71,76,97,
31-5-2024 6:8:51,71,76,97,
31-5-2024 6:8:51,71,76,97,
31-5-2024 6:8:51,71,76,97,
31-5-2024 6:8:51,71,76,97,
31-5-2024 6:8:51,71,76,97,
31-5-2024 6:8:51,71,76,97,
31-5-2024 6:8:51,71,76,97,
31-5-2024 6:8:51,71,76,97,
31-5-2024 6:8:52,71,76,97,
31-5-2024 6:8:52,71,76,97,
31-5-2024 6:8:52,71,76,97,
31-5-2024 6:8:52,71,76,97,
31-5-2024 6:8:52,71,76,97,
31-5-2024 6:8:52,71,76,97,
31-5-2024 6:8:52,71,76,97,
31-5-2024 6:8:52,71,76,97,
31-5-2024 6:8:52,71,76,97,
31-5-2024 6:8:52,71,76,97,
31-5-2024 6:8:52,71,76,97,
31-5-2024 6:8:52,71,76,97,
31-5-2024 6:8:52,71,76,97,
31-5-2024 6:8:52,71,76,97,
31-5-2024 6:8:52,71,76,97,
31-5-2024 6:8:52,71,76,97,
31-5-2024 6:8:53,71,76,97,
31-5-2024 6:8:53,71,76,97,
31-5-2024 6:8:53,71,76,97,
31-5-2024 6:8:53,71,76,97,
31-5-2024 6:8:53,71,76,97,
31-5-2024 6:8:53,71,76,97,
31-5-2024 6:8:53,71,76,97,
31-5-2024 6:8:53,71,76,97,
31-5-2024 6:8:53,71,76,97,
31-5-2024 6:8:53,71,76,97,
31-5-2024 6:8:53,71,76,97,
31-5-2024 6:8:53,71,76,97,
31-5-2024 6:8:53,71,76,97,
31-5-2024 6:8:53,71,76,97,
31-5-2024 6:8:53,71,76,97,
31-5-2024 6:8:54,71,76,97,
31-5-2024 6:8:54,71,76,97,
31-5-2024 6:8:54,71,76,97,
31-5-2024 6:8:54,71,76,97,
31-5-2024 6:8:54,71,76,97,
31-5-2024 6:8:54,71,76,97,
31-5-2024 6:8:54,71,76,97,
31-5-2024 6:8:54,71,76,97,
31-5-2024 6:8:54,71,76,97,
31-5-2024 6:8:54,71,76,97,
31-5-2024 6:8:54,71,76,97,
31-5-2024 6:8:54,71,76,97,
31-5-2024 6:8:54,71,76,97,
31-5-2024 6:8:54,71,76,97,
31-5-2024 6:8:54,71,76,97,
31-5-2024 6:8:55,71,76,97,
31-5-2024 6:8:55,71,76,97,
31-5-2024 6:8:55,71,76,97,
31-5-2024 6:8:55,71,76,97,
31-5-2024 6:8:55,71,76,97,
31-5-2024 6:8:55,71,76,97,
31-5-2024 6:8:55,71,76,97,
31-5-2024 6:8:55,71,76,97,
31-5-2024 6:8:55,71,76,97,
31-5-2024 6:8:55,71,76,97,
31-5-2024 6:8:55,71,76,97,
31-5-2024 6:8:55,71,76,97,
31-5-2024 6:8:55,71,76,97,
31-5-2024 6:8:55,71,76,97,
31-5-2024 6:8:55,71,76,97,
31-5-2024 6:8:56,71,76,97,
31-5-2024 6:8:56,71,76,97,
31-5-2024 6:8:56,71,76,97,
31-5-2024 6:8:56,71,76,97,
31-5-2024 6:8:56,71,76,97,
31-5-2024 6:8:56,71,77,99,
31-5-2024 6:8:56,71,77,99,
31-5-2024 6:8:56,71,77,99,
