time,r,g,b,
27-5-2024 10:2:11,0,0,0,
27-5-2024 10:2:11,0,0,0,
27-5-2024 10:2:11,0,0,0,
27-5-2024 10:2:12,0,0,0,
27-5-2024 10:2:12,0,0,0,
27-5-2024 10:2:12,0,0,0,
27-5-2024 10:2:12,0,0,0,
27-5-2024 10:2:12,0,0,0,
27-5-2024 10:2:12,0,0,0,
27-5-2024 10:2:12,0,0,0,
27-5-2024 10:2:12,0,0,0,
27-5-2024 10:2:12,0,0,0,
27-5-2024 10:2:12,0,0,0,
27-5-2024 10:2:12,0,0,0,
27-5-2024 10:2:12,0,0,0,
27-5-2024 10:2:12,71,76,97,
27-5-2024 10:2:12,71,76,97,
27-5-2024 10:2:13,71,76,97,
27-5-2024 10:2:13,71,76,97,
27-5-2024 10:2:13,71,76,97,
27-5-2024 10:2:13,71,76,97,
27-5-2024 10:2:13,71,76,97,
27-5-2024 10:2:13,71,76,97,
27-5-2024 10:2:13,71,76,97,
27-5-2024 10:2:13,71,76,97,
27-5-2024 10:2:13,71,76,97,
27-5-2024 10:2:13,71,76,97,
27-5-2024 10:2:13,71,76,97,
27-5-2024 10:2:13,71,76,97,
27-5-2024 10:2:13,71,76,97,
27-5-2024 10:2:13,71,76,97,
27-5-2024 10:2:13,71,76,97,
27-5-2024 10:2:14,71,76,97,
27-5-2024 10:2:14,71,76,97,
