time,r,g,b,
27-5-2024 10:2:21,0,0,0,
27-5-2024 10:2:21,0,0,0,
27-5-2024 10:2:21,0,0,0,
27-5-2024 10:2:21,0,0,0,
27-5-2024 10:2:21,0,0,0,
27-5-2024 10:2:21,0,0,0,
27-5-2024 10:2:22,0,0,0,
27-5-2024 10:2:22,0,0,0,
27-5-2024 10:2:22,0,0,0,
27-5-2024 10:2:22,0,0,0,
27-5-2024 10:2:22,0,0,0,
27-5-2024 10:2:22,0,0,0,
27-5-2024 10:2:22,0,0,0,
27-5-2024 10:2:22,0,0,0,
27-5-2024 10:2:22,0,0,0,
27-5-2024 10:2:22,71,76,97,
27-5-2024 10:2:22,71,76,97,
27-5-2024 10:2:22,71,76,97,
27-5-2024 10:2:22,71,76,97,
27-5-2024 10:2:22,71,76,97,
27-5-2024 10:2:22,71,76,97,
27-5-2024 10:2:23,71,76,97,
