time,r,g,b,
31-5-2024 6:12:52,0,0,0,
31-5-2024 6:12:52,0,0,0,
31-5-2024 6:12:52,0,0,0,
31-5-2024 6:12:52,0,0,0,
31-5-2024 6:12:52,0,0,0,
31-5-2024 6:12:53,0,0,0,
31-5-2024 6:12:53,0,0,0,
31-5-2024 6:12:53,0,0,0,
31-5-2024 6:12:53,0,0,0,
31-5-2024 6:12:53,0,0,0,
31-5-2024 6:12:53,0,0,0,
31-5-2024 6:12:53,0,0,0,
31-5-2024 6:12:53,0,0,0,
31-5-2024 6:12:53,0,0,0,
31-5-2024 6:12:53,0,0,0,
31-5-2024 6:12:53,71,76,97,
31-5-2024 6:12:53,71,76,97,
31-5-2024 6:12:53,71,76,97,
31-5-2024 6:12:53,71,76,97,
31-5-2024 6:12:53,71,76,97,
31-5-2024 6:12:54,71,76,97,
31-5-2024 6:12:54,71,76,97,
31-5-2024 6:12:54,71,76,97,
31-5-2024 6:12:54,71,76,97,
31-5-2024 6:12:54,71,76,97,
31-5-2024 6:12:54,71,76,97,
31-5-2024 6:12:54,71,76,97,
31-5-2024 6:12:54,71,76,97,
31-5-2024 6:12:54,71,76,97,
31-5-2024 6:12:54,71,76,97,
31-5-2024 6:12:54,71,76,97,
