time,r,g,b,
27 5 2024 8:5:40,0,0,0,
27 5 2024 8:5:40,0,0,0,
27 5 2024 8:5:40,0,0,0,
27 5 2024 8:5:40,0,0,0,
27 5 2024 8:5:40,0,0,0,
27 5 2024 8:5:40,0,0,0,
27 5 2024 8:5:40,0,0,0,
27 5 2024 8:5:40,0,0,0,
27 5 2024 8:5:40,0,0,0,
27 5 2024 8:5:40,0,0,0,
27 5 2024 8:5:40,0,0,0,
27 5 2024 8:5:40,0,0,0,
27 5 2024 8:5:41,0,0,0,
27 5 2024 8:5:41,0,0,0,
27 5 2024 8:5:41,0,0,0,
27 5 2024 8:5:41,71,76,97,
27 5 2024 8:5:41,71,76,97,
27 5 2024 8:5:41,71,76,97,
27 5 2024 8:5:41,71,76,97,
27 5 2024 8:5:41,71,76,97,
27 5 2024 8:5:41,71,76,97,
27 5 2024 8:5:41,71,76,97,
27 5 2024 8:5:41,71,76,97,
27 5 2024 8:5:41,71,76,97,
27 5 2024 8:5:41,71,76,97,
27 5 2024 8:5:41,71,76,97,
27 5 2024 8:5:41,71,76,97,
27 5 2024 8:5:41,71,76,97,
27 5 2024 8:5:42,71,76,97,
27 5 2024 8:5:42,71,76,97,
27 5 2024 8:5:42,71,76,97,
27 5 2024 8:5:42,71,76,97,
27 5 2024 8:5:42,71,76,97,
27 5 2024 8:5:42,71,76,97,
27 5 2024 8:5:42,71,76,97,
27 5 2024 8:5:42,71,76,97,
27 5 2024 8:5:42,71,76,97,
27 5 2024 8:5:42,71,76,97,
27 5 2024 8:5:42,71,76,97,
27 5 2024 8:5:42,71,76,97,
27 5 2024 8:5:42,71,76,97,
27 5 2024 8:5:42,71,76,97,
27 5 2024 8:5:42,71,76,97,
27 5 2024 8:5:43,71,76,97,
27 5 2024 8:5:43,71,76,97,
27 5 2024 8:5:43,71,76,97,
27 5 2024 8:5:43,71,76,97,
27 5 2024 8:5:43,71,76,97,
27 5 2024 8:5:43,71,76,97,
27 5 2024 8:5:43,71,76,97,
27 5 2024 8:5:43,71,76,97,
27 5 2024 8:5:43,71,76,97,
27 5 2024 8:5:43,71,76,97,
27 5 2024 8:5:43,71,76,97,
27 5 2024 8:5:43,71,76,97,
27 5 2024 8:5:43,71,76,97,
27 5 2024 8:5:43,71,76,97,
27 5 2024 8:5:43,71,76,97,
27 5 2024 8:5:44,71,76,97,
27 5 2024 8:5:44,71,76,97,
27 5 2024 8:5:44,71,76,97,
27 5 2024 8:5:44,71,76,97,
27 5 2024 8:5:44,71,76,97,
27 5 2024 8:5:44,71,76,97,
27 5 2024 8:5:44,71,76,97,
27 5 2024 8:5:44,71,76,97,
27 5 2024 8:5:44,71,76,97,
27 5 2024 8:5:44,71,76,97,
27 5 2024 8:5:44,71,76,97,
27 5 2024 8:5:44,71,76,97,
27 5 2024 8:5:44,71,76,97,
27 5 2024 8:5:44,71,76,97,
27 5 2024 8:5:44,71,76,97,
27 5 2024 8:5:45,71,76,97,
27 5 2024 8:5:45,71,76,97,
27 5 2024 8:5:45,71,76,97,
27 5 2024 8:5:45,71,76,97,
27 5 2024 8:5:45,71,76,97,
27 5 2024 8:5:45,71,76,97,
27 5 2024 8:5:45,71,76,97,
27 5 2024 8:5:45,71,76,97,
27 5 2024 8:5:45,71,76,97,
27 5 2024 8:5:45,71,76,97,
27 5 2024 8:5:45,71,76,97,
27 5 2024 8:5:45,71,76,97,
27 5 2024 8:5:45,71,76,97,
27 5 2024 8:5:45,71,76,97,
27 5 2024 8:5:45,71,76,97,
27 5 2024 8:5:46,71,76,97,
27 5 2024 8:5:46,71,76,97,
27 5 2024 8:5:46,71,76,97,
27 5 2024 8:5:46,71,76,97,
27 5 2024 8:5:46,71,76,97,
27 5 2024 8:5:46,71,76,97,
27 5 2024 8:5:46,71,76,97,
27 5 2024 8:5:46,71,76,97,
27 5 2024 8:5:46,71,76,97,
27 5 2024 8:5:46,71,76,97,
27 5 2024 8:5:46,71,76,97,
