time,0,1,2,3,4,5,6,7,left_distance,right_distance,
1-6-2024 20:8:58,69.968280,67.068430,69.651024,66.597163,62.721456,66.817198,67.915157,69.746300,0.005778,0.021101,
1-6-2024 20:8:58,66.532711,64.206464,74.827764,64.940512,66.837673,60.777962,57.399075,68.630137,0.009546,0.026878,
1-6-2024 20:8:58,67.126739,66.325993,65.573679,54.667887,64.850760,72.534950,70.142569,69.067128,0.013439,0.030772,
1-6-2024 20:8:58,68.097866,69.419404,69.679553,65.876335,73.487176,65.622166,66.451673,66.564172,0.017207,0.034540,
1-6-2024 20:8:58,67.577608,68.489162,69.808916,65.166005,66.023564,71.236768,65.370895,70.966657,0.021101,0.038434,
1-6-2024 20:8:58,63.234791,62.727858,67.628645,63.583875,61.209735,66.108018,69.334036,67.375872,0.024994,0.042202,
1-6-2024 20:8:58,67.935514,68.932665,60.304237,66.030061,66.108706,64.656182,63.675263,66.652559,0.028762,0.046095,
1-6-2024 20:8:58,67.521682,63.621736,68.002107,67.166664,66.719341,66.480741,65.899510,68.806190,0.032656,0.049863,
1-6-2024 20:8:58,63.189593,59.779855,61.139923,71.626852,66.468208,73.180014,66.328794,64.542007,0.036424,0.053757,
1-6-2024 20:8:58,65.181475,68.786007,64.518135,64.194431,66.048914,69.520039,64.084735,67.379419,0.041825,0.057525,
1-6-2024 20:8:58,68.031430,73.282012,66.296809,75.059634,72.142258,71.829527,70.058871,68.459386,0.044588,0.061418,
1-6-2024 20:8:58,61.083041,64.815663,68.834501,67.671375,70.514008,70.533057,71.233154,62.704265,0.048105,0.065186,
1-6-2024 20:8:58,70.212409,68.106504,63.930308,67.546074,65.588892,70.751429,65.115306,57.556797,0.051747,0.069080,
1-6-2024 20:8:58,71.628806,62.838438,69.730953,68.417745,69.434213,64.219920,62.058566,65.251751,0.055641,0.072974,
1-6-2024 20:8:59,59.569402,69.194995,62.027082,76.039386,69.948633,61.117945,64.772110,65.539979,0.059409,0.076742,
1-6-2024 20:8:59,65.150524,66.653246,66.789433,67.944182,62.091918,69.940498,70.270211,70.820667,0.063177,0.080635,
1-6-2024 20:8:59,71.657183,66.734421,65.136571,68.089603,67.189214,62.233255,69.189399,66.590634,0.067070,0.084403,
1-6-2024 20:8:59,69.348149,68.810138,72.847527,70.223485,67.609713,68.886037,76.028798,65.343086,0.070964,0.088297,
1-6-2024 20:8:59,67.078442,70.570902,68.867419,71.640964,71.138097,63.081826,70.206267,69.221785,0.074732,0.092065,
1-6-2024 20:8:59,60.904617,62.424796,64.310332,66.078600,69.540901,63.223806,67.878479,67.036078,0.078626,0.095958,
1-6-2024 20:8:59,67.711283,65.572906,60.291081,65.242624,66.924863,69.602008,66.797349,66.317802,0.082394,0.099726,
1-6-2024 20:8:59,64.644785,65.987684,66.015691,71.336923,61.885832,66.830074,66.737778,64.999796,0.086287,0.103620,
1-6-2024 20:8:59,73.227501,64.867244,65.077854,62.366135,65.117688,69.710006,67.379608,65.396110,0.090055,0.107514,
1-6-2024 20:8:59,67.837627,71.771573,66.079474,61.674487,69.811594,69.197585,70.932311,68.180432,0.093949,0.111282,
1-6-2024 20:8:59,68.073926,66.799467,66.723916,70.439807,71.958555,68.496756,65.134734,67.955826,0.097717,0.115175,
1-6-2024 20:8:59,68.733133,70.677472,66.468989,69.104103,68.360679,66.307676,72.621076,67.476093,0.101610,0.118943,
1-6-2024 20:8:59,65.859479,64.541008,73.114624,67.155259,64.594864,71.311860,65.261292,65.910266,0.105504,0.122837,
1-6-2024 20:8:59,69.039153,64.438099,63.052291,66.693857,68.326829,67.515518,66.780226,65.308800,0.109272,0.126605,
1-6-2024 20:8:59,66.416591,70.790797,70.598690,71.693282,66.888773,69.149531,67.102271,72.152485,0.113166,0.130498,
