time,0,1,2,3,4,5,6,7,left_distance,right_distance,
1-6-2024 20:8:31,69.968280,67.068430,69.651024,66.597163,62.721456,66.817198,67.915157,69.746300,0.005778,0.021101,
1-6-2024 20:8:31,66.532711,64.206464,74.827764,64.940512,66.837673,60.777962,57.399075,68.630137,0.014444,0.024994,
1-6-2024 20:8:31,67.126739,66.325993,65.573679,54.667887,64.850760,72.534950,70.142569,69.067128,0.014946,0.028762,
1-6-2024 20:8:31,68.097866,69.419404,69.679553,65.876335,73.487176,65.622166,66.451673,66.564172,0.017710,0.032656,
1-6-2024 20:8:31,67.577608,68.489162,69.808916,65.166005,66.023564,71.236768,65.370895,70.966657,0.021226,0.036424,
1-6-2024 20:8:31,63.234791,62.727858,67.628645,63.583875,61.209735,66.108018,69.334036,67.375872,0.024994,0.040318,
1-6-2024 20:8:31,67.935514,68.932665,60.304237,66.030061,66.108706,64.656182,63.675263,66.652559,0.028762,0.044086,
1-6-2024 20:8:31,67.521682,63.621736,68.002107,67.166664,66.719341,66.480741,65.899510,68.806190,0.032656,0.047979,
1-6-2024 20:8:32,63.189593,59.779855,61.139923,71.626852,66.468208,73.180014,66.328794,64.542007,0.036424,0.051747,
1-6-2024 20:8:32,65.181475,68.786007,64.518135,64.194431,66.048914,69.520039,64.084735,67.379419,0.040318,0.055641,
1-6-2024 20:8:32,68.031430,73.282012,66.296809,75.059634,72.142258,71.829527,70.058871,68.459386,0.044086,0.059409,
1-6-2024 20:8:32,61.083041,64.815663,68.834501,67.671375,70.514008,70.533057,71.233154,62.704265,0.047979,0.063302,
1-6-2024 20:8:32,70.212409,68.106504,63.930308,67.546074,65.588892,70.751429,65.115306,57.556797,0.051747,0.067196,
1-6-2024 20:8:32,71.628806,62.838438,69.730953,68.417745,69.434213,64.219920,62.058566,65.251751,0.055641,0.070964,
1-6-2024 20:8:32,59.569402,69.194995,62.027082,76.039386,69.948633,61.117945,64.772110,65.539979,0.059534,0.074858,
1-6-2024 20:8:32,65.150524,66.653246,66.789433,67.944182,62.091918,69.940498,70.270211,70.820667,0.063302,0.078626,
1-6-2024 20:8:32,71.657183,66.734421,65.136571,68.089603,67.189214,62.233255,69.189399,66.590634,0.067196,0.082519,
1-6-2024 20:8:32,69.348149,68.810138,72.847527,70.223485,67.609713,68.886037,76.028798,65.343086,0.070964,0.086287,
1-6-2024 20:8:32,67.078442,70.570902,68.867419,71.640964,71.138097,63.081826,70.206267,69.221785,0.074858,0.090181,
