time,0,1,2,3,4,5,6,7,left_distance,right_distance,
1-6-2024 20:7:33,67.521682,63.621736,68.002107,67.166664,66.719341,66.480741,65.899510,68.806190,0.047477,0.021101,
1-6-2024 20:7:33,63.189593,59.779855,61.139923,71.626852,66.468208,73.180014,66.328794,64.542007,0.043960,0.023864,
1-6-2024 20:7:33,65.181475,68.786007,64.518135,64.194431,66.048914,69.520039,64.084735,67.379419,0.039690,0.027255,
1-6-2024 20:7:33,68.031430,73.282012,66.296809,75.059634,72.142258,71.829527,70.058871,68.459386,0.035168,0.030898,
1-6-2024 20:7:33,61.083041,64.815663,68.834501,67.671375,70.514008,70.533057,71.233154,62.704265,0.031526,0.034540,
1-6-2024 20:7:33,70.212409,68.106504,63.930308,67.546074,65.588892,70.751429,65.115306,57.556797,0.030018,0.038308,
1-6-2024 20:7:33,71.628806,62.838438,69.730953,68.417745,69.434213,64.219920,62.058566,65.251751,0.031023,0.042202,
1-6-2024 20:7:34,59.569402,69.194995,62.027082,76.039386,78.651627,466.398101,234.799714,65.539979,0.033661,0.045970,
1-6-2024 20:7:34,65.150524,66.653246,66.789433,67.944182,62.091918,85.335916,118.103669,70.820667,0.036801,0.049863,
1-6-2024 20:7:34,110.169115,66.734421,65.136571,68.089603,67.189214,62.233255,69.189399,154.087157,0.040318,0.053631,
1-6-2024 20:7:34,69.348149,209.491671,305.707770,70.223485,67.609713,68.886037,76.028798,65.343086,0.043960,0.057399,
1-6-2024 20:7:34,67.078442,70.570902,258.741087,131.082313,71.138097,63.081826,70.206267,69.221785,0.047728,0.061167,
1-6-2024 20:7:34,60.904617,62.424796,212.940669,201.211062,69.540901,63.223806,67.878479,67.036078,0.051496,0.064935,
1-6-2024 20:7:34,67.711283,65.572906,291.924021,239.893463,66.924863,69.602008,66.797349,66.317802,0.055264,0.068829,
1-6-2024 20:7:34,64.644785,65.987684,298.254525,156.887424,61.885832,66.830074,66.737778,64.999796,0.059032,0.072597,
1-6-2024 20:7:34,73.227501,64.867244,153.285363,62.366135,65.117688,69.710006,67.379608,65.396110,0.062800,0.076365,
