time,0,1,2,3,4,5,6,7,left_distance,right_distance,
1-6-2024 12:57:2,69.968280,67.068430,69.651024,66.597163,62.721456,66.817198,67.915157,69.746300,0.000000,0.000000,
1-6-2024 12:57:2,66.532711,64.206464,74.827764,64.940512,66.837673,60.777962,57.399075,68.630137,0.034666,0.003894,
1-6-2024 12:57:2,67.126739,66.325993,65.573679,54.667887,64.850760,72.534950,70.142569,69.067128,0.038308,0.007662,
1-6-2024 12:57:2,68.097866,69.419404,69.679553,65.876335,73.487176,65.622166,66.451673,66.564172,0.042076,0.011555,
1-6-2024 12:57:2,67.577608,68.489162,69.808916,65.166005,66.023564,71.236768,65.370895,70.966657,0.045970,0.015323,
1-6-2024 12:57:2,63.234791,62.727858,67.628645,63.583875,61.209735,66.108018,69.334036,67.375872,0.049738,0.019217,
1-6-2024 12:57:2,67.935514,68.932665,60.304237,66.030061,66.108706,64.656182,63.675263,66.652559,0.053631,0.022985,
1-6-2024 12:57:2,67.521682,63.621736,68.002107,67.166664,66.719341,66.480741,65.899510,68.806190,0.057399,0.026878,
1-6-2024 12:57:2,63.189593,59.779855,61.139923,71.626852,66.468208,73.180014,66.328794,64.542007,0.061293,0.030646,
1-6-2024 12:57:2,65.181475,68.786007,64.518135,64.194431,66.048914,69.520039,64.084735,67.379419,0.065061,0.034540,
1-6-2024 12:57:3,68.031430,73.282012,66.296809,75.059634,72.142258,71.829527,70.058871,68.459386,0.068954,0.038308,
1-6-2024 12:57:3,61.083041,64.815663,68.834501,67.671375,70.514008,70.533057,71.233154,62.704265,0.072722,0.042202,
1-6-2024 12:57:3,70.212409,68.106504,63.930308,67.546074,65.588892,70.751429,65.115306,57.556797,0.076616,0.046095,
1-6-2024 12:57:3,71.628806,62.838438,69.730953,68.417745,69.434213,64.219920,62.058566,65.251751,0.080384,0.049863,
1-6-2024 12:57:3,59.569402,69.194995,62.027082,76.039386,69.948633,61.117945,64.772110,65.539979,0.084278,0.053757,
1-6-2024 12:57:3,65.150524,66.653246,66.789433,67.944182,62.091918,69.940498,70.270211,70.820667,0.088171,0.057525,
1-6-2024 12:57:3,71.657183,66.734421,65.136571,68.089603,67.189214,62.233255,69.189399,66.590634,0.091939,0.061418,
1-6-2024 12:57:3,69.348149,68.810138,72.847527,70.223485,67.609713,68.886037,76.028798,65.343086,0.095833,0.065186,
