time,0,1,2,3,4,5,6,7,left_distance,right_distance,
1-6-2024 12:43:24,69.968280,67.068430,69.651024,66.597163,62.721456,66.817198,67.915157,69.746300,nan,nan,
1-6-2024 12:43:24,66.532711,64.206464,74.827764,64.940512,66.837673,60.777962,57.399075,68.630137,nan,nan,
1-6-2024 12:43:24,67.126739,66.325993,65.573679,54.667887,64.850760,72.534950,70.142569,69.067128,nan,nan,
1-6-2024 12:43:24,68.097866,69.419404,69.679553,65.876335,73.487176,65.622166,66.451673,66.564172,nan,nan,
1-6-2024 12:43:24,67.577608,68.489162,69.808916,65.166005,66.023564,71.236768,65.370895,70.966657,nan,nan,
1-6-2024 12:43:25,63.234791,62.727858,67.628645,63.583875,61.209735,66.108018,69.334036,67.375872,nan,nan,
1-6-2024 12:43:25,67.935514,68.932665,60.304237,66.030061,66.108706,64.656182,63.675263,66.652559,nan,nan,
1-6-2024 12:43:25,67.521682,63.621736,68.002107,67.166664,66.719341,66.480741,65.899510,68.806190,nan,nan,
1-6-2024 12:43:25,63.189593,59.779855,61.139923,71.626852,66.468208,73.180014,66.328794,64.542007,nan,nan,
1-6-2024 12:43:25,65.181475,68.786007,64.518135,64.194431,66.048914,69.520039,64.084735,67.379419,nan,nan,
1-6-2024 12:43:25,68.031430,73.282012,66.296809,75.059634,72.142258,71.829527,70.058871,68.459386,nan,nan,
1-6-2024 12:43:25,61.083041,64.815663,68.834501,67.671375,70.514008,70.533057,71.233154,62.704265,nan,nan,
1-6-2024 12:43:25,70.212409,68.106504,63.930308,67.546074,65.588892,70.751429,65.115306,57.556797,nan,nan,
1-6-2024 12:43:25,71.628806,62.838438,69.730953,68.417745,69.434213,64.219920,62.058566,65.251751,nan,nan,
1-6-2024 12:43:25,59.569402,69.194995,62.027082,76.039386,69.948633,61.117945,64.772110,65.539979,nan,nan,
1-6-2024 12:43:25,65.150524,66.653246,66.789433,67.944182,62.091918,69.940498,70.270211,70.820667,nan,nan,
1-6-2024 12:43:25,71.657183,66.734421,65.136571,68.089603,67.189214,62.233255,69.189399,66.590634,nan,nan,
1-6-2024 12:43:25,69.348149,68.810138,72.847527,70.223485,67.609713,68.886037,76.028798,65.343086,nan,nan,
1-6-2024 12:43:25,67.078442,70.570902,68.867419,71.640964,71.138097,63.081826,70.206267,69.221785,nan,nan,
1-6-2024 12:43:25,60.904617,62.424796,64.310332,66.078600,69.540901,63.223806,67.878479,67.036078,nan,nan,
1-6-2024 12:43:26,67.711283,65.572906,60.291081,65.242624,66.924863,69.602008,66.797349,66.317802,nan,nan,
1-6-2024 12:43:26,64.644785,65.987684,66.015691,71.336923,61.885832,66.830074,66.737778,64.999796,nan,nan,
1-6-2024 12:43:26,73.227501,64.867244,65.077854,62.366135,65.117688,69.710006,67.379608,65.396110,nan,nan,
1-6-2024 12:43:26,67.837627,71.771573,66.079474,61.674487,69.811594,69.197585,70.932311,68.180432,nan,nan,
1-6-2024 12:43:26,68.073926,66.799467,66.723916,70.439807,71.958555,68.496756,65.134734,67.955826,nan,nan,
1-6-2024 12:43:26,68.733133,70.677472,66.468989,69.104103,68.360679,66.307676,72.621076,67.476093,nan,nan,
1-6-2024 12:43:26,65.859479,64.541008,73.114624,67.155259,64.594864,71.311860,65.261292,65.910266,nan,nan,
1-6-2024 12:43:26,69.039153,64.438099,63.052291,66.693857,68.326829,67.515518,66.780226,65.308800,nan,nan,
1-6-2024 12:43:26,66.416591,70.790797,70.598690,71.693282,66.888773,69.149531,67.102271,72.152485,nan,nan,
1-6-2024 12:43:26,66.472637,67.250676,66.073649,69.137237,65.775504,67.625669,71.744548,66.503099,nan,nan,
1-6-2024 12:43:26,63.895276,60.213861,67.629094,67.272494,66.376282,69.748253,62.878848,63.762373,nan,nan,
1-6-2024 12:43:26,70.492199,66.674966,68.672678,70.688995,68.332912,67.228937,70.097620,69.848811,nan,nan,
1-6-2024 12:43:26,59.602147,70.253569,68.006488,68.510879,71.445736,66.484543,61.054518,67.214353,nan,nan,
1-6-2024 12:43:26,67.949591,70.837424,61.605275,68.134871,63.608387,65.780101,69.436139,63.946906,nan,nan,
1-6-2024 12:43:26,70.232424,67.738180,63.111122,74.418741,63.104599,68.134645,67.245905,64.547729,nan,nan,
1-6-2024 12:43:27,70.936924,68.478065,67.523397,67.147098,64.194804,70.562430,69.548081,69.459407,nan,nan,
1-6-2024 12:43:27,66.977740,65.082805,73.942333,72.710168,71.585863,72.093836,70.496438,63.153834,nan,nan,
1-6-2024 12:43:27,72.376871,63.910644,62.586941,71.703548,66.276912,72.789724,70.021266,65.414234,nan,nan,
1-6-2024 12:43:27,71.325876,64.500755,64.688570,64.511668,67.449771,68.480347,71.261875,70.860712,nan,nan,
1-6-2024 12:43:27,59.124700,67.323332,68.759205,73.768085,70.599518,63.275993,61.232531,68.602137,nan,nan,
1-6-2024 12:43:27,65.691635,63.236302,68.045861,70.279805,64.104739,69.702023,64.624737,67.816871,nan,nan,
1-6-2024 12:43:27,69.201484,66.259502,64.262475,64.780148,63.338577,64.778314,68.755568,67.900383,nan,nan,
1-6-2024 12:43:27,65.217185,66.870262,69.270876,64.087549,64.764648,65.870624,68.891523,69.035725,nan,nan,
1-6-2024 12:43:27,65.127750,68.735100,64.951721,70.393180,72.131330,63.090231,64.275857,67.113985,nan,nan,
1-6-2024 12:43:27,67.666497,66.518346,62.741357,67.956550,66.293842,64.423263,64.397391,66.855051,nan,nan,
1-6-2024 12:43:27,67.454849,62.068769,58.378764,60.416262,67.294294,61.847878,66.080639,62.429547,nan,nan,
1-6-2024 12:43:27,67.791331,67.813114,63.364411,67.784465,63.857773,63.142943,64.338535,74.678927,nan,nan,
1-6-2024 12:43:27,64.350462,68.849909,66.816068,68.047206,72.396374,69.029057,71.641954,67.383668,nan,nan,
1-6-2024 12:43:27,70.722386,63.827126,67.238512,68.138230,63.762749,61.330039,65.262951,62.341481,nan,nan,
1-6-2024 12:43:27,70.258883,70.906074,67.181629,64.386719,67.856574,66.323256,63.284593,63.289962,nan,nan,
1-6-2024 12:43:28,69.145606,68.761214,69.643446,66.248694,62.653960,68.626404,69.458250,72.350402,nan,nan,
1-6-2024 12:43:28,74.484295,64.105042,69.481250,66.913122,67.404615,61.329143,67.788430,65.407347,nan,nan,
